village,latitude,longitude
Seetharamapuram,15.0169139,79.1372542
Yalavigi,15.0367726,75.404264
Dhundshi,15.0273861,75.1432213
Vajrakarur,15.0291289,77.3834946
Yeshwantanagara,15.0440557,76.4980548
Obulapuram,15.0317282,76.8495999
Muthyalapadu,15.0394277,78.5967189
Kiravatti,15.0565922,74.8466728
Vidapanakallu,15.0590897,77.1818483
Chilakanahatti,15.0749176,76.3484162
Holagundi,15.0345275,76.0039508
Mopadu,15.0880381,79.4894033
Belahatti,15.0815607,75.6461298
Pamur,15.0944,79.4138
Yalavadhala,15.1079912,74.9900648
Gadekal,15.1178888,77.2459296
Hampasagara,15.1207139,76.0352346
Tadas,15.1259806,75.1256015
Devikoppa,15.1390471,74.9271302
Ulvapadu,15.1676242,80.007337
Pokuru,15.1727161,79.8229361
Chandrasekharapuram,15.1823408,79.2793291
Bhagavati,15.1559509,74.7596196
Toranagallu,15.1959663,76.6780987
Kudatini,15.1968735,76.7584514
Magadi,15.2172778,75.5116545
Allinagaram,15.1966036,79.0097401
Chinthakunta,15.2391896,77.1563638
Sambrani,15.2438335,74.7609795
Maddikera,15.2492521,77.4159067
Beldona,15.2624476,77.2873004
Ponnaluru,15.2718668,79.7992125
Rudravaram,15.2423172,78.6043438
Mulagunda,15.2817244,75.5225438
Dhummawada,15.3177061,75.0101072
Dambala,15.2962765,75.7739126
Tuggali,15.3133538,77.5439063
Gonahalu,15.2687501,77.1261982
Munimadugu,15.3151959,77.9460491
Sirvel,15.3211685,78.5344897
Peda Alavala Padu,15.3273759,79.6249321
Mundla Padu,15.3296639,78.9002506
Tanguturu,15.3401504,80.0393196
Govindpalle,15.3523636,78.5230285
Molagavalli,15.3565737,77.3305234
Vedulla Cheruvu,15.3145048,79.2316874
Diguvametta,15.3950801,78.8289266
Gajulapalle,15.4053,78.61853
Sirigeri,15.4380202,76.8359863
Alluru Aakula,15.446089,80.1183347
Muddatanuru,15.4543765,76.7906885
Racherla,15.4630589,78.9655138
Kelageri,15.4591502,74.9655503
Holagunda,15.4884707,77.0462224
Kanaginahala,15.4569175,75.7301924
Shriramanagara,15.5006427,76.6030694
Mangaluru,15.5174526,76.1474562
Gotlagattu,15.5510913,79.4200896
Bidi,15.5659556,74.6537456
Ramallakota,15.5726482,78.000657
Garag,15.5752639,74.9312943
Uppala Padu,15.5829344,79.7563207
Nandagada,15.576672,74.569272
Abbigeri,15.5863781,75.7551897
Morab,15.5830019,75.157492
Raravi,15.6288893,76.9789873
Vellam Palle,15.6393627,80.0135563
Santhekudlur,15.6263639,77.1411662
Laddagiri,15.6322402,77.8918964
Uppugunduru,15.6699733,80.1686326
Konakanametla,15.6519009,79.4902582
Salagunda,15.6646271,76.8313099
Doddavada,15.6748405,74.962637
Kanakumbi,15.698217,74.2208598
Nannur,15.7188523,78.0859222
Hanchinala,15.6810909,75.2412231
Kadavakuduru,15.7234,80.2544
Kuppagal,15.7305669,77.2378609
Sudi,15.7323276,75.8672062
Tavaragera,15.7671121,76.4036608
Hirebagevadi,15.7757497,74.6451343
Asundi,15.7466879,75.0239822
Vetapalem,15.7807768,80.3070955
Hachcholli,15.7902309,76.9908108
Haralakatti,15.79084,75.2671147
Mantralayam,15.9413643,77.4236981
Belur,15.8475579,75.7527795
Dotihala,15.8635338,76.2063802
Madhavaram,15.9349984,77.3558606
Gudagaladinni,15.8650187,76.6133845
Halvi,15.8852218,77.1232426
Jawalagera,15.8663913,76.8141525
Kurichedu,15.9025768,79.5773084
Nesaragi,15.9078573,74.7757344
Kulageri,15.9043598,75.5118277
Dupadu,15.9163687,79.3654713
Guduru,15.9393613,75.9146111
Kandagalla,15.9557156,76.2727437
Maski,15.958598,76.6573629
Yaragatti,15.9684,75.0242
Parchuru,15.9696311,80.2753189
Vannura,15.971511,74.8174626
Dintimeraka,16.0010491,81.0488988
Tripurantakam,16.001382,79.4567118
Marturu,15.986248,80.1051179
Agasanakoppa,16.0572957,75.5649478
Kommalapadu,16.0286681,79.9440093
Yeregara,16.0698798,77.4139665
Macharla,16.0841931,77.5450179
Savalyapuram,16.1023423,79.8152965
Salahalli,16.0707115,75.2310613
Kaladagi,16.2071441,75.4996999
Yamakanamaradi,16.1284616,74.5270181
Mutukula,16.1625333,79.5309585
Maliyabad,16.1529582,77.3633355
Kallura,16.1390426,77.2092093
Pullalacheruvu,16.1583594,79.4321822
Kavuru,16.1439812,80.1264306
Ganjihala,16.163991,75.9836195
Nawalakal,16.1641369,76.9704373
Kalamala,16.1976216,77.2062659
Hira,16.1917448,76.8202476
Chebrole,16.1975191,80.5257502
Dannuru,16.1882744,76.0945222
Prathipadu,16.1828531,80.3335507
Yadawada,16.242796,75.1810043
Yeramarasa,16.260406,77.3528207
Kulagoda,16.2457475,75.0449901
Nalatavada,16.2456499,76.2927824
Kuchipudi,16.257106,80.9168427
Vattavarlapally,16.2475648,78.7973671
Satuluru,16.2544628,80.1204302
Nidumolu,16.2540805,81.0242115
Sunaga,16.2893106,75.6184656
Kollipara,16.2888174,80.7501439
Gurugunta,16.2875775,76.6302571
Phirangipuram,16.2923128,80.2618841
Narayanapura,16.2568404,76.3775713
Bellada Bagewadi,16.2998057,74.7210025
Gabburu,16.308213,77.1565884
Kanagala,16.3205911,74.427637
Atmakur,16.3373241,77.805459
Kowtaram,16.3340799,81.076761
Kodekala,16.3525638,76.4013955
Jalahalli,16.3651178,76.7808528
Karoshi,16.368001,74.5779514
Devasuguru,16.3716995,77.3640464
Mannanur,16.3725178,78.7583353
Antarvedipalem,16.4013949,81.7771294
Galagali,16.4166757,75.4376016
Pedda Vadlapudi,16.4099861,80.6113866
Vankeshwaram,16.4310964,78.9101503
Kankipadu,16.438705,80.7647019
Devapura,16.4360913,76.7284428
Saundalaga,16.4739018,74.3507001
Maganuru,16.4591417,77.4297609
Mandavalli,16.5116701,81.1556108
Sadalaga,16.5579634,74.5325681
Raghupatipeta,16.5129928,78.4820042
Ankali,16.5425256,74.6732625
Bodasakurru,16.5316619,81.9740541
Gannavaram,16.5407546,80.8051601
