village,latitude,longitude
Byappanahalli,13.0721257,77.7200164
Kalavara,13.4245463,77.6991738
Ambagilu,13.3710379,74.7464615
Thekkatte,13.5504237,74.7009409
Chettalli,12.370303,75.8308074
Muddenahalli,13.4072056,77.696664
Karahalli,13.3281097,77.6903563
Hesaraghatta,13.1393984,77.4783628
Madanayakanahalli,13.0592472,77.4615112
Kattigenahalli,13.1177735,77.6261222
Nandi,13.385523,77.6983878
Chikkagubbi,13.0806067,77.6662218
Gollahalli,13.0830453,77.675794
Kadaagrahara,13.0806375,77.6916126
Bagaluru,13.1331868,77.6687093
Yarappanahalli,13.086031,77.6862593
Chokkanahalli,13.1132252,77.6873408
Chagalatti,13.1223366,77.6692477
Budigere,13.1351506,77.7471989
Varadenahalli,13.2163779,77.8027272
Kallambella,13.6310454,76.9232261
Belagatta,14.3126387,76.4564698
Ginigera,15.3504116,76.248793
Kampasagara,15.3264162,76.3290008
Munirabad,15.2785018,76.3274884
Talakalla,15.3786175,76.0205937
Bannikoppa,15.3881607,75.9416867
Shantigrama,12.983428,76.2166763
Channasandra,12.9804938,77.7683853
Talapadi,12.7700811,74.8676529
Sullyapadavu,12.613094,75.205501
Marasandra,13.0994918,77.7148543
Bylakuppe,12.4292508,75.9953435
Banashankari,15.8876779,75.7046777
Kottigehara,13.121079,75.5250941
Balur,13.1482346,75.5108753
Siddapura,12.2985232,75.8757618
Somanathapura,12.2761528,76.8833039
Baddadka,12.507245,75.396678
Kanyana,12.5527006,75.278536
Kolcharu,12.519538,75.330971
Paimbechalu,12.5288133,75.3290044
Mandekolu,12.5520043,75.2996154
Peraje,12.5698941,75.2823344
Pallathur,12.583828,75.246823
Muroor,12.5707278,75.2987103
Panjikkal,12.5738257,75.3164242
Alantadka,12.586189,75.246474
Arantodu,12.518399,75.469536
Holalu,12.5528987,76.8502793
Bidarakote,12.6799698,76.9291756
Alakere,12.6017666,76.9643063
Hulivana,12.5888099,76.9026303
Belluru,12.98091,76.7362403
Koppa,12.7110046,76.9569332
Bharathinagara,12.4864366,77.0354145
Arakere,12.4125906,76.8178634
Kottati,12.471694,76.8662436
Pattadakallu,15.9484334,75.8159703
Shirura,16.09805,75.7830011
Hombale,15.5162823,75.557011
Huyilagola,15.520252,75.655373
Balaganuru,15.5879166,75.6085728
Kadadi,15.586659,75.6348514
Shalavadi,15.5824337,75.4727253
Belavanaki,15.6708779,75.5695423
Kurtakoti,15.3671236,75.5233937
Hulakoti,15.4237982,75.543897
Savandurga,12.9159605,77.2977719
Ammatti,12.2387959,75.8578417
Torenuru,12.5487778,75.9908391
Konanuru,12.6293082,76.0498869
Ramanathapura,12.6170192,76.0860769
Kakkabe,12.2583769,75.6450396
Murnadu,12.313537,75.7524477
Kodlipete,12.7986815,75.8876665
Kusugal,15.3961083,75.2097933
Byahatti,15.4474207,75.2043629
Hebsuru,15.450188,75.3030792
Padesur,15.555511,75.3222913
Halebidu,13.2167959,75.9918793
Narendra,15.5087369,74.9768538
Pandavapura,12.5011414,76.6731501
Akkihebbalu,12.6238349,76.3896983
Katte Malalawadi,12.3528212,76.2894961
Palya,12.9494806,75.941541
Hagare,13.1285235,75.9933194
Parkala,13.355273,74.8068364
Marimatti,16.3507121,75.9041377
Chimmalagi,16.4191951,75.8480431
Telagi,16.4749643,75.8178219
Bellur,13.1373251,77.9918549
Madapura,12.2139907,76.9687148
Sosale,12.237889,76.9121719
Talakadu,12.1919942,77.0293979
Balupete,12.9444124,75.8847407
Vemagal,13.1923524,78.0193456
Avati,13.2974815,77.7242766
Anegundi,15.3511368,76.4921443
Kavalura,15.2890121,75.9427469
Handrala,15.3150043,76.0506029
Siddammanahalli,15.268537,76.7875392
Kolagallu,15.193596,76.8671254
Badanahatti,15.3182698,76.8265359
Emmiganuru,15.3984817,76.7070977
Malavi,14.9996153,76.1977023
Gonuru,14.2604688,76.4276776
Ayyanahalli,14.7259867,76.455502
Cheluru,13.4424524,76.9060701
Turchaghatta,14.3781433,75.9231062
Halageri,14.5554607,75.6097133
Sirigere,14.2840739,76.2051907
Sunkasala,14.7367963,74.5174079
Ramanaguli,14.7963225,74.5846341
Huliyurudurga,12.8281852,77.0334582
Chunchanakatte,12.5038487,76.2933754
Honniganahalli,12.4349571,77.2814516
Mangadahalli,12.5633178,77.220671
Udduru,12.2803114,76.3563429
Bijaganahalli,12.3087297,76.3277659
Bannikuppe,12.318711,76.3579642
Alaganchi,12.0931738,76.7786891
Kadakola,12.1927222,76.6645229
